Replace Part BQ? Xtal in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with Xtal from Privod_A_K.IntLib
Replace Part C? C_1206 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with C_1206 from Privod_A_K.IntLib
Replace Part C? C_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with C_0805 from Privod_A_K.IntLib
Replace Part C? C_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with C_0805 from Privod_A_K.IntLib
Replace Part C? C_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with C_0805 from Privod_A_K.IntLib
Replace Part C? C_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with C_0805 from Privod_A_K.IntLib
Replace Part C? C_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with C_0805 from Privod_A_K.IntLib
Replace Part C? C_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with C_0805 from Privod_A_K.IntLib
Replace Part C? C_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with C_0805 from Privod_A_K.IntLib
Replace Part C? C_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with C_0805 from Privod_A_K.IntLib
Replace Part C? C_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with C_0805 from Privod_A_K.IntLib
Replace Part C? C_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with C_0805 from Privod_A_K.IntLib
Replace Part C? C_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with C_0805 from Privod_A_K.IntLib
Replace Part C? C_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with C_0805 from Privod_A_K.IntLib
Replace Part C? C_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with C_0805 from Privod_A_K.IntLib
Replace Part C? C+_TAN_A in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with C+_TAN_A from Privod_A_K.IntLib
Replace Part C? C+_TAN_A in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with C+_TAN_A from Privod_A_K.IntLib
Replace Part DD? DD_W5500 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with DD_W5500 from Privod_A_K.IntLib
Replace Part L? L_PBY201209T-601Y-N in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with L_PBY201209T-601Y-N from Privod_A_K.IntLib
Replace Part R? R_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with R_0805 from Privod_A_K.IntLib
Replace Part R? R_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with R_0805 from Privod_A_K.IntLib
Replace Part R? R_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with R_0805 from Privod_A_K.IntLib
Replace Part R? R_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with R_0805 from Privod_A_K.IntLib
Replace Part R? R_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with R_0805 from Privod_A_K.IntLib
Replace Part R? R_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with R_0805 from Privod_A_K.IntLib
Replace Part R? R_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with R_0805 from Privod_A_K.IntLib
Replace Part R? R_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with R_0805 from Privod_A_K.IntLib
Replace Part R? R_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with R_0805 from Privod_A_K.IntLib
Replace Part R? R_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with R_0805 from Privod_A_K.IntLib
Replace Part R? R_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with R_0805 from Privod_A_K.IntLib
Replace Part R? R_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with R_0805 from Privod_A_K.IntLib
Replace Part R? R_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with R_0805 from Privod_A_K.IntLib
Replace Part R? R_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with R_0805 from Privod_A_K.IntLib
Replace Part R? R_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with R_0805 from Privod_A_K.IntLib
Replace Part R? R_0805 in C:\AltiumPro\FP_LCD68_ver1\FP_LCD68\FP_LCD68_ver1\Ethernet.SchDoc with R_0805 from Privod_A_K.IntLib
