Change Component Designator: Old Designator=C15 New Designator=C20
Change Component Designator: Old Designator=R? New Designator=R24
Change Component Designator: Old Designator=R? New Designator=R25
Change Component Designator: Old Designator=R? New Designator=R24
Change Component Designator: Old Designator=R? New Designator=R25
Change Component Designator: Old Designator=R? New Designator=R24
Change Component Designator: Old Designator=R? New Designator=R25
Change Component Designator: Old Designator=R? New Designator=R26
Change Component Designator: Old Designator=R? New Designator=R24
Change Component Designator: Old Designator=R? New Designator=R25
Change Component Designator: Old Designator=R? New Designator=R26
Change Component Designator: Old Designator=VD15 New Designator=VD18
